ticker,name,issuer,structure,role,category,asset_class,growth_pct,mer_pct,size_aud_m,franking_pct,distribution_frequency,hedged,notes,as_at
SUBD,VanEck Australian Subordinated Debt ETF,VanEck,etf,defensive,subordinated (Tier 2) bank debt ETF,defensive,0,0.29,2500,0,monthly,na,Tier 2 bank debt: higher yield; ranks below senior bonds,2026-09-06
HBRD,Betashares Australian Credit Income Active ETF (formerly Active Australian Hybrids Fund),Betashares,active_etf,defensive,credit income active fund (Coolabah),defensive,0,0.55,2494,0,monthly,na,Mandate rewritten 31 March 2026 from bank hybrids to broad credit income (RBA cash + 2% objective); latest distributions 0% franked; performance fee removed,2026-09-06
BHYB,Betashares Australian Major Bank Hybrids Index ETF,Betashares,hybrid_etf,defensive,bank hybrid (AT1) index ETF,defensive,0,0.35,80,45,monthly,na,Holds only Big-4 bank Additional Tier 1 notes; the PDS warns the fund will wind down as APRA phases out AT1 by 2032; franking level varies,2026-09-06
BSUB,Betashares Australian Major Bank Subordinated Debt ETF,Betashares,etf,defensive,subordinated (Tier 2) bank debt ETF,defensive,0,0.29,700,0,monthly,na,Big-4 Tier 2 notes only; same fee as the larger SUBD,2026-09-06
GOVT,State Street SPDR S&P/ASX iBoxx Australian Government Bond ETF,State Street,etf,defensive,Australian government bond ETF,defensive,0,0.1,72,0,quarterly,na,"Renamed 19 December 2025; fee cut from 0.22% in November 2023; sub-scale, kept to show the size filter",2026-09-06
VAS,Vanguard Australian Shares Index ETF,Vanguard,etf,core_au,Australian equities ETF (S&P/ASX 300),growth,100,0.07,26600,80,quarterly,na,ASX 300; the most widely held Australian equity ETF,2026-09-06
A200,Betashares Australia 200 ETF,Betashares,etf,core_au,Australian equities ETF (Solactive Australia 200),growth,100,0.04,10650,70,quarterly,na,Cheapest broad Australian equity ETF,2026-09-06
IOZ,iShares Core S&P/ASX 200 ETF,BlackRock iShares,etf,core_au,Australian equities ETF (S&P/ASX 200),growth,100,0.05,9500,70,quarterly,na,,2026-09-06
STW,SPDR S&P/ASX 200 Fund,State Street,etf,core_au,Australian equities ETF (S&P/ASX 200),growth,100,0.05,5500,75,quarterly,na,Oldest ETF on the ASX; not live-verified in the 2026-09-06 research pass,2026-09-06
MVW,VanEck Australian Equal Weight ETF,VanEck,etf,core_au,Australian equities ETF (equal weight),growth,100,0.35,2500,70,semi-annual,na,Equal weighting cuts bank and miner concentration at several times the fee; not live-verified in the 2026-09-06 research pass,2026-09-06
VGS,Vanguard MSCI Index International Shares ETF,Vanguard,etf,core_intl,developed-market equities ETF (unhedged),growth,100,0.18,16400,0,quarterly,no,MSCI World ex Australia; about 1500 companies,2026-09-06
VGAD,Vanguard MSCI Index International Shares (Hedged) ETF,Vanguard,etf,core_intl,developed-market equities ETF (AUD hedged),growth,100,0.21,7600,0,quarterly,yes,Hedged version of VGS; distributions can be lumpy because hedging gains are paid out,2026-09-06
BGBL,Betashares Global Shares ETF,Betashares,etf,core_intl,developed-market equities ETF (unhedged),growth,100,0.08,3000,0,semi-annual,no,Solactive developed markets ex Australia,2026-09-06
HGBL,Betashares Global Shares Currency Hedged ETF,Betashares,etf,core_intl,developed-market equities ETF (AUD hedged),growth,100,0.11,2700,0,semi-annual,yes,Hedged version of BGBL,2026-09-06
IVV,iShares S&P 500 ETF,BlackRock iShares,etf,core_intl,US large-cap equities ETF (unhedged),growth,100,0.04,13500,0,quarterly,no,US only; concentrated in a handful of technology names,2026-09-06
IHVV,iShares S&P 500 (AUD Hedged) ETF,BlackRock iShares,etf,core_intl,US large-cap equities ETF (AUD hedged),growth,100,0.10,1500,0,quarterly,yes,Hedged version of IVV; not live-verified in the 2026-09-06 research pass,2026-09-06
IWLD,iShares Core MSCI World ex Australia ESG Leaders ETF,BlackRock iShares,etf,core_intl,developed-market equities ETF (ESG screened; unhedged),growth,100,0.09,700,0,semi-annual,no,ESG screen means it is not a plain index fund; not live-verified in the 2026-09-06 research pass,2026-09-06
VEU,Vanguard All-World ex-US Shares Index ETF,Vanguard,etf,core_intl,world ex-US equities ETF (US-domiciled; unhedged),growth,100,0.05,3000,0,quarterly,no,US-domiciled: the fund must lodge a W-8BEN-E; US withholding and estate-tax questions; USD distributions; not live-verified in the 2026-09-06 research pass,2026-09-06
NDQ,Betashares Nasdaq 100 ETF,Betashares,etf,core_intl,US technology-heavy equities ETF (unhedged),growth,100,0.48,6000,0,semi-annual,no,A sector bet rather than core; fee above the role cap; not live-verified in the 2026-09-06 research pass,2026-09-06
VGE,Vanguard FTSE Emerging Markets Shares ETF,Vanguard,etf,core_intl,emerging-market equities ETF (unhedged),growth,100,0.48,1000,0,quarterly,no,Fee above the role cap; emerging-market risk; not live-verified in the 2026-09-06 research pass,2026-09-06
VHY,Vanguard Australian Shares High Yield ETF,Vanguard,etf,income,Australian high-dividend equities ETF,growth,100,0.25,7700,80,quarterly,na,FTSE ASFA high-yield screen; heavy in banks and miners,2026-09-06
IHD,iShares S&P/ASX Dividend Opportunities ESG Screened ETF,BlackRock iShares,etf,income,Australian dividend equities ETF,growth,100,0.23,300,80,quarterly,na,size not live-verified in the 2026-09-06 research pass,2026-09-06
SYI,SPDR MSCI Australia Select High Dividend Yield Fund,State Street,etf,income,Australian dividend equities ETF,growth,100,0.2,500,60,quarterly,na,franking varies; the July 2026 payment was 9% franked (realised gains),2026-09-06
HVST,Betashares Australian Dividend Harvester Active ETF,Betashares,active_etf,income,dividend-harvesting active fund,growth,100,0.72,286,64,monthly,na,Rotates into shares before ex-dividend dates; high headline yield with a history of capital erosion; fee above the role cap,2026-09-06
YMAX,Betashares Australian Top 20 Equity Yield Maximiser Fund (managed fund),Betashares,active_etf,income,covered-call income fund,growth,100,0.64,500,42,quarterly,na,Option overlay caps upside; part of the yield is option premium; fee above the role cap,2026-09-06
AFI,Australian Foundation Investment Company,AFIC,lic,income,large-cap Australian equities LIC,growth,100,0.15,8400,100,semi-annual,na,"Internally managed LIC; check premium or discount to NTA; size is market capitalisation (net assets about 10,200); traded at a 17% discount to NTA in August 2026",2026-09-06
ARG,Argo Investments,Argo,lic,income,large-cap Australian equities LIC,growth,100,0.14,6700,100,semi-annual,na,Internally managed LIC; check premium or discount to NTA; size is market capitalisation; quarterly dividends from January 2027; 15-18% discount to NTA in August 2026,2026-09-06
WHF,Whitefield Industrials,Whitefield,lic,income,industrials-only Australian equities LIC,growth,100,0.35,700,100,semi-annual,na,Excludes resources; check premium or discount to NTA; 22.6% discount to NTA at 31 July 2026; fee not live-verified in the 2026-09-06 research pass,2026-09-06
BKI,BKI Investment Company,BKI,lic,income,Australian equities LIC,growth,100,0.17,1500,100,semi-annual,na,Check premium or discount to NTA; 10.4% discount to NTA at 31 August 2026; moving to quarterly dividends; fee not live-verified in the 2026-09-06 research pass,2026-09-06
AUI,Australian United Investment Company,AUI,lic,income,large-cap Australian equities LIC,growth,100,0.1,1500,100,semi-annual,na,Absorbed Diversified United Investment (DUI) on 1 May 2026; check premium or discount to NTA; figures not live-verified in the 2026-09-06 research pass,2026-09-06
GOLD,Global X Physical Gold,Global X,etf,diversifier,physical gold ETF (unhedged),growth,100,0.40,5400,0,none,no,Backed by allocated bullion in London; pays no income,2026-09-06
PMGOLD,Perth Mint Gold,The Perth Mint,etf,diversifier,gold (Perth Mint depository receipt; unhedged),growth,100,0.15,1500,0,none,no,Government-backed Perth Mint structure; pays no income; size not live-verified in the 2026-09-06 research pass,2026-09-06
QAU,Betashares Gold Bullion ETF - Currency Hedged,Betashares,etf,diversifier,physical gold ETF (AUD hedged),growth,100,0.59,1200,0,none,yes,Removes the USD exposure from gold; GHLD (0.35%) is another AUD-hedged gold product; not live-verified in the 2026-09-06 research pass,2026-09-06
VAP,Vanguard Australian Property Securities Index ETF,Vanguard,etf,diversifier,Australian listed property (A-REIT) ETF,growth,100,0.23,3000,5,quarterly,na,Dominated by Goodman Group; overlaps with the ASX 300; not live-verified in the 2026-09-06 research pass,2026-09-06
SLF,SPDR S&P/ASX 200 Listed Property Fund,State Street,etf,diversifier,Australian listed property (A-REIT) ETF,growth,100,0.16,600,5,quarterly,na,not live-verified in the 2026-09-06 research pass,2026-09-06
VBLD,Vanguard Global Infrastructure Index ETF,Vanguard,etf,diversifier,global infrastructure ETF (unhedged),growth,100,0.47,500,0,quarterly,no,not live-verified in the 2026-09-06 research pass,2026-09-06
IFRA,VanEck FTSE Global Infrastructure (Hedged) ETF,VanEck,etf,diversifier,global infrastructure ETF (AUD hedged),growth,100,0.2,1900,0,quarterly,yes,fee cut from 0.52% on 3 July 2023,2026-09-06
VDCO,Vanguard Diversified Conservative Index ETF,Vanguard,etf,all_in_one,diversified 30/70 growth/defensive ETF,mixed,30,0.27,290,2,quarterly,na,30% growth / 70% defensive; franking 1-5% of distributions,2026-09-06
VDBA,Vanguard Diversified Balanced Index ETF,Vanguard,etf,all_in_one,diversified 50/50 ETF,mixed,50,0.27,1000,5,quarterly,na,50% growth / 50% defensive; franking estimate; not live-verified in the 2026-09-06 research pass,2026-09-06
VDGR,Vanguard Diversified Growth Index ETF,Vanguard,etf,all_in_one,diversified 70/30 ETF,mixed,70,0.27,1300,6,quarterly,na,70% growth / 30% defensive; franking estimate; not live-verified in the 2026-09-06 research pass,2026-09-06
VDHG,Vanguard Diversified High Growth Index ETF,Vanguard,etf,all_in_one,diversified 90/10 ETF,mixed,90,0.27,4000,6,quarterly,na,90% growth / 10% defensive; July 2026 distribution 5.9% franked; size not live-verified in the 2026-09-06 research pass,2026-09-06
DHHF,Betashares Diversified All Growth ETF,Betashares,etf,all_in_one,diversified 100% growth ETF,growth,100,0.19,1300,25,semi-annual,na,No bonds at all; franking varies 15-35% by payment; holds US-domiciled ETFs so foreign withholding is taken twice,2026-09-06
